Episode,Title,Rating
1,Pilot,7.5
2,Diversity Day,8.3
3,Health Care,7.8
4,The Alliance,8.1
5,Basketball,8.4
6,Hot Girl,7.8
7,The Dundies,8.7
8,Sexual Harassment,8.2
9,Office Olympics,8.4
10,The Fire,8.4
11,Halloween,8.1
12,The Fight,8.2
13,The Client,8.6
14,Performance Review,8.2
15,E-Mail Surveillance,8.4
16,Christmas Party,8.9
17,Booze Cruise,8.6
18,The Injury,9.1
19,The Secret,8.3
20,The Carpet,7.9
21,Boys and Girls,8.2
22,Valentine's Day,8.3
23,Dwight's Speech,8.5
24,Take Your Daughter to Work Day,8.3
25,Michael's Birthday,8.1
26,Drug Testing,8.4
27,Conflict Resolution,8.7
28,Casino Night,9.4
29,Gay Witch Hunt,9
30,The Convention,8.2
31,The Coup,8.6
32,Grief Counseling,8
33,Initiation,8.2
34,Diwali,8
35,Branch Closing,8.6
36,The Merger,8.7
37,The Convict,8.3
38,A Benihana Christmas,8.8
39,Back from Vacation,8.5
40,Traveling Salesmen,8.6
41,The Return,8.8
42,Ben Franklin,8.1
43,Phyllis' Wedding,8.2
44,Business School,8.9
45,Cocktails,8.5
46,The Negotiation,9
47,Safety Training,8.8
48,Product Recall,8.8
49,Women's Appreciation,8.8
50,Beach Games,9.1
51,The Job,9.3
52,Fun Run,8.8
53,Dunder Mifflin Infinity,8.3
54,Launch Party,8.4
55,Money,8.7
56,Local Ad,8.8
57,Branch Wars,8.5
58,Survivor Man,8.2
59,The Deposition,8.7
60,Dinner Party,9.4
61,Chair Model,8.1
62,Night Out,8.6
63,Did I Stutter?,8.3
64,Job Fair,7.8
65,"Goodbye, Toby",9.3
66,Weight Loss,8.8
67,Business Ethics,8.3
68,Baby Shower,8
69,Crime Aid,8.1
70,Employee Transfer,8.1
71,Customer Survey,8.5
72,Business Trip,8.2
73,Frame Toby,8.6
74,The Surplus,8.8
75,Moroccan Christmas,8.4
76,The Duel,8.7
77,Prince Family Paper,8
78,Stress Relief,9.7
79,Lecture Circuit: Part 1,8.2
80,Lecture Circuit: Part 2,8.2
81,Blood Drive,8
82,Golden Ticket,8.7
83,New Boss,8.3
84,Two Weeks,8.4
85,Dream Team,8.3
86,Michael Scott Paper Company,8.7
87,Heavy Competition,8.7
88,Broke,9.2
89,Casual Friday,8.3
90,Cafe Disco,8.7
91,Company Picnic,9
92,Gossip,8.8
93,The Meeting,8.1
94,The Promotion,8
95,Niagara: Part 1,9.4
96,Niagara: Part 2,9.4
97,Mafia,7.6
98,The Lover,8.6
99,Koi Pond,8.2
100,Double Date,8.1
101,Murder,8.6
102,Shareholder Meeting,8.2
103,Scott's Tots,8.3
104,Secret Santa,8.5
105,The Banker,6.8
106,Sabre,7.7
107,Manager and Salesman,8.1
108,The Delivery: Part 1,8.4
109,The Delivery: Part 2,8.5
110,St. Patrick's Day,7.7
111,New Leads,7.8
112,Happy Hour,8.6
113,Secretary's Day,7.9
114,Body Language,8
115,The Cover-Up,8.2
116,The Chump,7.8
117,Whistleblower,8
118,Nepotism,8.4
119,Counseling,8.2
120,Andy's Play,8.2
121,Sex Ed,7.9
122,The Sting,7.8
123,Costume Contest,8.2
124,Christening,7.4
125,Viewing Party,7.8
126,WUPHF.com,7.7
127,China,8.2
128,Classy Christmas,9
129,Ultimatum,8.3
130,The Seminar,7.7
131,The Search,8.5
132,PDA,8.4
133,Threat Level Midnight,9.4
134,Todd Packer,7.5
135,Garage Sale,9.3
136,Training Day,7.8
137,Michael's Last Dundies,9
138,"Goodbye, Michael",9.8
139,The Inner Circle,7.7
140,"Dwight K. Schrute, (Acting) Manager",8.7
141,Search Committee,8.8
142,The List,8.2
143,The Incentive,8.1
144,Lotto,7.3
145,Garden Party,8.1
146,Spooked,7.6
147,Doomsday,7.7
148,Pam's Replacement,7.7
149,Gettysburg,6.9
150,Mrs. California,7.7
151,Christmas Wishes,8
152,Trivia,7.9
153,Pool Party,8
154,Jury Duty,7.5
155,Special Project,7.7
156,Tallahassee,7.8
157,After Hours,8.1
158,Test the Store,7.8
159,Last Day in Florida,7.8
160,Get the Girl,6.6
161,Welcome Party,7.1
162,Angry Andy,7.1
163,Fundraiser,7.1
164,Turf War,7.6
165,Free Family Portrait Studio,7.7
166,New Guys,7.6
167,Roy's Wedding,7.2
168,Andy's Ancestry,7.4
169,Work Bus,7.8
170,Here Comes Treble,7
171,The Boat,7.7
172,The Whale,7.6
173,The Target,7.8
174,Dwight Christmas,8.3
175,Lice,7.6
176,Suit Warehouse,7.9
177,Customer Loyalty,8
178,Junior Salesman,7.6
179,Vandalism,7.5
180,Couples Discount,7.3
181,Moving On,8.1
182,The Farm,7.5
183,Promos,8
184,Stairmageddon,8
185,Paper Airplane,8
186,Livin' the Dream,9
187,A.A.R.M.,9.5
188,Finale,9.8
